job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function.,fraudulent
4859,PR8 Apprentice Administrator Under NAS 16-18 Year Olds Only,"GB, , Southport",,,"Established on the principles that full time education is not for everyone Spectrum Learning is made up of a team of passionate consultants with the drive for putting people who wish to grow themselves through education whilst working into long term and relevant job roles.We also are official re-sellers for The Institute of Recruiters/ Study Course professional courses in HR Practice, In-House Recruitment and Agency RecruitmentIt is our mission to help anyone wishing to pursue an apprenticeship onto the right qualification and into the right job.We work closely with both the candidate and the employer to ensure when the learner is enrolled they are at the start of a long and successful career.We have great relationships with a number of national training providers to ensure we can cover any apprenticeship available.????",Government funding is only available for 16-18 year olds only.Perfect role for school leavers.This is a fantastic role for those looking to start their career in Business Admin. During the first 12 months you will work towards a Level 2 Business Admin NVQ and then be kept on in a permanent position.??You will be working for a claim management company and the role will involve:-Working as part of a team-Working to specific deadlines-Banking payments-Getting references-Putting together monthly reports-Working on the receptionIdeal candidates will be focused and confidentIf you are motivated and career minded please apply now.,16-18 year olds only due to government funding.Full time availability.,Career prospects.,0,1,1,Full-time,Not Applicable,High School or equivalent,,Administrative,0
9391,Freelance Editors (m/f) for Russian Courses for German Speakers,"DE, BE, Berlin",Didactics,,"Babbel enables anyone to learn languages in an easy and interactive way. The learning system offers 13 languages, from English to Indonesian. Users with and without previous knowledge can access grammar and thematic courses as well as vocabulary, writing and listening comprehension exercises online and on the go. In addition to the full courses for web, iOS and Android, there are also vocabulary trainer apps for Windows 8 and the Kindle Fire.Babbel is operated by Lesson Nine GmbH in Berlin. The company was founded in August 2007 and now has approximately 250 employees and freelancers and is opening an office in New York City (Lower East Side).",We are looking for German native speakers (m/f) to join our freelancer team as editors for Russian courses.RESPONSIBILITIESEditing and proofreading the German explanations and translations of Russian language courses,Experience as an editor or proofreaderPreferably also a background in teaching RussianGerman is your mother tongueAn advance knowledge of RussianExcellent spelling and computer skillsReliability and an independent way of workingTax number for freelance work in GermanyPreferably living in Berlin,Flexible work schedulesMost work done from home (with initial training in our Berlin office)Competent training and supportA friendly atmosphere and a great teamWe would appreciate concise and relevant applications exclusively in digital form to the attn. of Ms??Nadja Hantschel referring to the position as Freelance Editors (m/f) for Russian Courses for Germans.Please note: We do not accept applications from recruiting agencies.,0,1,1,Other,,,E-Learning,Writing/Editing,0
8074,Entry Level Sales,"US, NC, Raleigh",,55000-75000,,"General Summary: Achieves maximum sales profitability, growth and account penetration within an assigned territory and/or market segment by effectively selling the company?€?s products and/or related services. Personally contacts and secures new business accounts/customers.CORE FUNCTIONS:?€?Promotes/sells/secures orders from existing and prospective customers through a relationship-based approach.?€?Demonstrates products and services to existing/potential customers and assists themin selecting those best suited to their needs.DETAILS OF FUNCTION:?€?Establishes, develops and maintains business relationships withcurrent customers and prospective customers in the assigned territory/market segment to generate new business for the organization?€?s products/services.?€?Makes telephone calls and in-person visits and presentations to existing and prospective customers.?€?Researches sources for developing prospective customers and for information to determine their potential.?€?Develops clear and effective written proposals/quotations for current and prospective customers.?€?Expedites the resolution of customer problems and complaints.?€?Coordinates sales effort with marketing, sales management, accounting, logistics and technical servicegroups.?€?Analyzes the territory/market?€?s potential and determines the value of existing and prospective customers value to the organization.?€?Creates and manages a customer value plan for existing customers highlighting profile, share and value opportunities.?€?Identifies advantages and compares organization?€?s products/services.?€?Plans and organizes personal sales strategy by maximizing the Return on Time Investment for the territory/segment.?€?Supplies management with oral and written reports on customer needs, problems, interests, competitive activities, and potential for new products and services.?€?Keeps abreast of product applications, technical services, market conditions, competitive activities, advertising and promotional trends through the reading of pertinent literature and consulting with marketing and technical service areas.QUALIFICATIONS:Demonstrated aptitude for problem-solving; ability to determine solutions for customers (consultative sales approach). Must be results-orientated and able to work both independently and within a team environment. Must possess excellent verbal and written communication skills. Proficiency in using Microsoft Office Suite applications and contact management software. Valid driver?€?s license.",,Great Health and DentalFast Advancement OpportunitiesGreat Income PotentialCompetitive Bonus ProgramCar Allowance,0,0,0,Full-time,Entry level,High School or equivalent,Financial Services,Sales,0
3739,Android Developer,"GB, LND, London",,,"Money is a person-to-person money transfer app designed to simplify how people send money home to their friends and family abroad.Moni makes sending money as easy as sending a text message. It allows users to send money to a mobile number anywhere in the world. Anyone with a UK bank account and a UK mobile phone can download the Moni app and start sending money.It is a simple, convenient and secure way to send money in seconds without having to remember sort codes, or the account and IBAN numbers required for cross border payments.??The founders were heads of Google Mobile and Yahoo! Mobile product team and is backed by TechStars - the #1 startup accelerator in the world. #URL_29641dd1fe6b250cedc9a7e61653352605c8b70d0aa132a1c94919ff5df7b578#We share space with other startups at 8 Warner Yard, EC1R 5EY??","A great opportunity to be a part of a growing development team in a London-based mobile start-up, and work in an agile environment that requires collaboration, great communication skills and flexibility.We are tackling a complex problem: allowing a user to transfer money abroad from the convenience of their mobile phones. We will provide users with a fantastic overall user experience, and a secure, simple-to-use app with a top-notch UI is an integral part of our strategy. We?€?ll expect you to be engaged, be critical, and always be ready to propose that one idea that will make our app a little bit better.If you are up to the challenge, we?€?d love to hear from you.??Remuneration: Salary &amp; Equity participationQualificationsAt least 3+ years of professional development experience, including a minimum of 2 years developing secure multi-threaded mobile appsProven track record of building apps with great user experience &amp; interfaceProficiency with Java, Android SDK and related technologies.??Experience integrating with web services and RESTful APIs (JSON/XML).Ability to review code and write unit testsAttention to detail and exceptional problem solving and communication skillsIdeally, you have 1-2 great apps in the PlayStore or Appstore, with good traction and, most importantly a top-notch user experience. Please, sends us a link and indicate your role.You approach development with a critical eye, a pragmatica attitude and have an appreciation for simplicity in code.??PlusesYou are interested exploring the intersection of finance and mobile technology and want to help shape the industryYou get excited when you see customers using your applicationsYou enjoy working in agile and collaborative environmentsYou care about great design and user experienceYou have strong self-management skills, and love taking the initiative.Experience using GitHub, Jira, Confluence, Jenkins and other collaborative toolsYou have worked with complex APIs and are comfortable working and discussing features and improvements directly with product ownersDon't mind a happy hour or get-together once in awhile with the team after a hard day's work.????EducationMS or BS in computer science / related field, or equivalent knowledge and experienceAbout MoniMoni is a person-to-person mobile money transfer platform designed to simplify how people send money to their families and friends abroad.Moni customers can set up an account and initiate money transfers from a mobile device or tablet within minutes. Our app enables them to transfer of funds from their bank account directly into a recipient's bank account abroad or to mobile wallet.By combining an intuitive interface with tracking and advanced account management features, we bring transparency and convenience to the way millions of people send money home.We are well-fundedThe founders were heads of Google Mobile and Yahoo! Mobile product team and is backed by TechStars - the #1 startup accelerator in the world. #URL_29641dd1fe6b250cedc9a7e61653352605c8b70d0aa132a1c94919ff5df7b578#We share space with other startups at Warner Yard in London (#URL_a6a214526b5d3abc9093dd8d7c5ad9d3792529d8210fb4671858353d255335f9#)",,,0,1,0,Full-time,,,,,0
5616,Software Engineer (Ruby),"US, MA, 02139",,,"Cogo Labs is the technology-driven incubator of some of the Boston area's fastest-growing web companies. Our proprietary technologies for algorithmic marketing, data mining and quantitative business analytics enable us to guide start-ups from inception to profitability and beyond.??","It can be hard to say what sets one workplace apart from another. As a talented web developer in the Boston area, you&rsquo;ve been courted by any number of companies with competitive salaries and great benefits. So if you&rsquo;re reading this ad, you&rsquo;re probably not concerned with flex time and floating holidays; you&rsquo;ve already got that. You&rsquo;re looking for something intangible.We&rsquo;d like to think you could find it at Cogo Labs.We&rsquo;re a tech incubator located in Kendall Square. We build profitable web businesses from the ground up, employing a data-driven, analytical approach. We hire the most talented people we can find, and we give them the freedom to do what they do best, without a lot of bureaucratic overhead.In short, we don&rsquo;t want to tell you what to do. We want to hear what you&rsquo;ve done.","You should be comfortable with most of these technologies:Ruby, with and without Rails&nbsp;nginx and Passenger&nbsp;HAML and SASS&nbsp;MySQL, Sphinx and Redis&nbsp;GitWe would love to talk to you if you:are excited about full stack web application developmenthave a track record of shipping RoR applicationshave strong communication, collaboration, and documentation skillshave a Bachelor's degree in Computer Science or equivalent experience","More about Cogo Labs:We are a 100% Mac/Linux shop. No Windows, no Outlook. Ever.Our work is challenging and fast-paced; our work environment is fun and supportive.Our company is profitable and established. This means &ldquo;startup culture&rdquo; without &ldquo;startup anxiety.&rdquo;&nbsp;We offer competitive salaries and benefits, plus an equity share that actually means something.Our employees have lives outside of work. We are musicians, athletes, filmmakers, gamers, authors, and whatever you are.",0,1,1,,,,,,0
477,Electrician,"US, NY, Niagara Falls",Maintenance,,"Niacet is a leading producer of organic salts, including propionates and acetates, serving the Food, Pharmaceutical and Technical industries. With two longstanding and fully automated manufacturing sites, located in Niagara Falls, NY USA, and Tiel, The Netherlands, Niacet offers world-class quality products to a global market. Our products fill vital needs in a broad range of applications that are essential to everyday life including food preservation, antibiotic formulation, dialysis treatment, energy production, and more.At Niacet all employees share in the growth and prosperity of the corporation. We want our employees to take pride in their personal and corporate accomplishments. Safe working conditions are achieved through continuous education of our?? employees and improved facilities. We aim to provide job and financial security for all employees.","DEPARTMENT:???????????? MaintenanceREPORTS TO:??????????????Maintenance ManagerLOCATION:?????????????????????? Niagara Falls, NYPOSITION:???????????????????????? Electrician??????About us:??Niacet is a leading producer of organic salts, including propionates and acetates, serving the Food, Pharmaceutical and Technical industries. With two longstanding and fully automated manufacturing sites, located in Niagara Falls, NY USA, and Tiel, The Netherlands, Niacet offers world-class quality products to a global market.Our products fill vital needs in a broad range of applications that are essential to everyday life including food preservation, antibiotic formulation, dialysis treatment, energy production, and more.??Electrician Position:??Niagara Falls chemical manufacturer is looking for experienced electrician.??General Job duties include, but are not limited to:--Maintenance of power distribution system, maintenance of instrumentation and control systems, electrical repairs to equipment, building service and repairs, installation of equipment in a chemical plant environment, housekeeping.--Must be able to read electrical diagrams, analyze problems and troubleshoot equipment operation; strong PLC and control system troubleshooting skills a plus.--May be required to move or lift up to 50lbs.--Good oral and written communication skills, experience with use of personal computers and prior chemical plant experience preferred.--Position requires support of plant maintenance needs on overtime and call-ins outside of regular hours and on weekends.--New York State Journeyman Industrial Electrician or Instrument Tech certification or equivalent experience required.??We offer competitive compensation and one of the best benefit packages in the industry...",,,0,1,0,Full-time,Mid-Senior level,,Chemicals,Manufacturing,0
16135,Community Manager,"BR, RJ, Rio de Janeiro",,,VTEX is the leading e-commerce solution provider in Latin America.,"Impeccable writing and grammar skills in Portuguese, English and Spanish.Excellent communication skillsGreat time management skills, ability to multitask, and an attention to detailInterest in working in a fast paced startup environment where being a self-starter is your key to successSocial media competency (Twitter, Facebook, forums, blogging)",,,0,1,0,,,,,,0
8618,Software Engineer - Content Recognition,"GB, BIR, Birmingham",Content ID,,"Friend MTS is a leading provider of technology to the media and entertainment??industry. Specialising in video security, we provide both integrated technology products and 'cloud' applications to a global client base ranging from satellite/cable broadcasters to sports leagues and movie studios. We research and develop everything in-house, with a variety of departments working on the technology components that have cemented our reputation as an industry leader.","The RoleWe are seeking an experienced Software Engineer to join our Content Identification team. The successful candidate will be involved in the design, development and maintenance of our video watermarking and video fingerprinting technologies and infrastructures.??The position requires individuals with three or more years of commercial experience of C++ programming or object-oriented PHP scripting,??excellent English and mathematical skills, and enthusiasm for technical challenges and novel applications. The successful candidates will be expected to develop their skills in multiple challenging disciplines to work as part of a rapidly growing technical organisation.ResponsibilitiesWorking as part of a team on a large-scale application in use daily by major global media companiesTesting, debugging and proving new technologiesPlanning deployment of new or updated systemsLiaising with other teams within the company working on related technologies to ensure delivery of an integrated service??to our clients",3+ years commercial C++ or object-oriented PHP scripting experienceExcellent English and mathematical skillsWorking experience of Unix/Linux systemsUnderstanding of software best practices,"Knowledge of video standardsWorking knowledge of desktop video processing tools (VLC and ffmpeg)Familiarity with MySQLAlgorithm development and testing using MATLABKnowledge of image/video processing tools, including Matlab Toolboxes, Intel IPP and OpenCVUnderstanding of continuous testing strategies, including unit testing, continuous integration servers (particularly Jenkins), functional testing, load testing etc.Understanding of web security issuesExperience in building software for multiple platforms (Linux/OS X/Windows)Experience in optimising the computational efficiency of complex algorithmsKnowledge of version control / source code management tools e.g. Git, desirableExperience with Mac OS X a bonus",0,1,0,Full-time,,Bachelor's Degree,Information Technology and Services,Information Technology,0
17318,Android Developer,"IL, TA, ",R&D,,,"IFAT Group is a leading Israeli company supplying analyized and processed information.We are looking for a developer for our R&amp;D department , to expand our protfolio of mobile products.The developer will be in charge of developing, maintaining and further developing Android Apps.",&nbsp;Minimum 1-2&nbsp;years of working experience developing on Android&nbsp;Experience in HTML 5 development&nbsp;IOS developing experience - advantage,,0,0,0,,,,,,0
15954,Graduate / Junior Designer,"GB, NYK, Harrogate",,0-12500,"Brand Apps is a exciting, young company that creates mobile apps to help small businesses promote themselves.?? We are passionate about the mobile world and dedicated to promoting the benefits that this emerging technology can bring to ordinary businesses.","Based in Harrogate, Brand Apps is one of the fastest growing providers of mobile marketing Apps in the UK. We focus on combining effective mobile experiences with good design and sound marketing advice.We are looking for a Graduate / Junior Designer to support our Development Team.??This will involve using Photoshop to artwork App designs into various formats for different devices (ie iPhone, Android, iPad, Blackberry etc) and building them into workable Apps via our simple GUI.You need to be a logical thinker and comfortable managing your own schedule and workload on a daily basis - especially under pressure.You need to be a good team player and be able to communicate effectively both in writing and verbally.","To be considered for this role you need to have:A creative qualification or a particular skill in graphic designDemonstrable awareness of design, branding, typography, colour and compositionPractical knowledge of Adobe PhotoshopProficient at learning new software packagesGood organisation, communication and time management skills","A starting salary of ??12,500",0,1,1,Full-time,Entry level,,Design,Design,0
