"job_id","title","location","department","salary_range","company_profile","description","requirements","benefits","telecommuting","has_company_logo","has_questions","employment_type","required_experience","required_education","industry","function.","fraudulent"
7329,"Customer Service Associate - Part Time ","US, NY, New York","","","Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. For almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. As a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth.","The Customer Service Associate will be based in New York, NY. The right candidate will be an integral part of our talented team, supporting our continued growth.Responsibilities:Complete both hard copy and electronic projectsWork consistently and accurately Ipro, Nuaance, Word, Excel, PowerPoint programsAbility to process all binding types including wire, spiral, velo, and 3-hole punch pressAbility to complete both Black and White and Color bindary projectsProfessional Attireable to communicate both written and orallyFamiliar with Konica equipmentLift heavy boxes, files or paper when neededMaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudeDemonstrate flexibility in satisfying customer demands in a high volume, production environmentConsistently adhere to business procedure guidelinesAdhere to all safety proceduresTake direction from supervisor or site managerMaintain all logs and reporting documentation; attention to detailParticipate in cross-training and perform other duties as assigned (Filing, outgoing shipments, etc)Handle time-sensitive material like confidential, urgent packagesProvide backfill when needed","Minimum Requirements:Minimum of 6 months customer service related experience requiredHigh school diploma or equivalent (GED) requiredFamiliarity with Ipro, Nuaance, Word, Excel, PowerPoint programsLegal background experience preferredKeyboarding and windows environment PC skills required (Word, Excel and PowerPoint preferred)Excellent communication skills both verbal and writtenWillingness and availability to work additional hours if assignedWillingness to submit to a pre-employment drug screening and criminal background checkAbility to effectively work individually or in a team environmentCompetency in performing multiple functional tasksAbility to meet employer's attendance policy ","",0,1,0,"Part-time","Entry level","High School or equivalent","Financial Services","Customer Service",0
13435,"Core Systems Engineer","US, TX, Austin","Engineering","","MaxPlay™ is a cross-platform digital publishing company focused on revolutionizing the games as a service market. You probably haven’t heard of us yet, but that’s about to change. Recently spun out of Technicolor Ventures, we’re busy building a world-class set of tools and technologies that enables game developers to reach larger audiences and provide the best gaming experience to their consumers. MaxPlay has a great team of veteran game publishers, engineers, and consumer product folks but we also need you to reach the next level.It’s not easy disrupting the game publishing business. Each day we’re tasked with building a broad range of products and services, and we’re looking for talented people in Austin, Los Angeles, and San Francisco that are excited to meet those challenges. Even if you're not a gamer, but love technology and creating new tools and platforms, we want to hear from you.","The Core Systems Engineer will work to implement foundational systems, such as animation, audio, or physics into a game engine. ","At least 3 years of C++ experienceAt least 1 year of experience working with a UI frameworkFamiliar with version control, such as PerforceExcellent written and verbal communication skillsBachelor’s Degree or equivalent experience. Bonus Points:Industry experience implementing any of the following systems:AnimationAudioGame ScriptingNetworkingPhysicsExperience integrating 3rd party libraries for any of:AIAudioGame ScriptingNetworkingPhysics           Python experienceFamiliarity with game engines such as Unity, Unreal, or Crytek ADDITIONAL INFORMATIONAll information will be kept confidential according to EEOC guidelinesMaxPlay and the Technicolor Ventures Group are an EOECandidate must be eligible to work in the United StatesNW Austin office location","",0,1,0,"Full-time","Mid-Senior level","","Entertainment","Engineering",0
5429,"Entry Level Legal Jobs in Orange County","US, CA, Orange County","Legal","","","Great opportunities for entry level legal professionals! Temporary Law Office receptionists, administrative assistants &amp; legal clerical professionals needed! We are looking for professionals who have experience working in law firms, strong computer and administrative skills. Experience with busy multi line phones, meeting and greeting visitors and handling various administrative projects is a plus. Candidate must be energetic, personable, highly motivated, reliable, organized, able to multitask, have good typing skills and proficient with Word, Outlook, and legal filing.","Job Requirements • Excellent writing skills• Strong interpersonal and organizational skills• Be detail-oriented and have the ability to prioritize and manage workload Job Snapshot Base Pay DOEEmployment Type Contract, TemporaryJob Type Legal, Legal AdminEducation AA DegreeExperience 2+ yearsManages Others NoRelocation NoIndustry LegalRequired Travel Not Specified","About Special CounselAt Special Counsel, we are the nation’s leading provider of legal staffing services. Since 1987, America’s most respected law firms and corporations have looked to us again and again for the very best talent, giving us access to more premier career opportunities than anyone else. Your expertise makes you valuable, and that’s why we offer a competitive salary and a wide range of benefits, including group medical, dental and vision insurance, 401(k), referral bonuses and more. We also offer career guidance and ongoing support to help you flourish. Become a part of our winning team. Apply today or contact your local Special Counsel office to learn more.",0,0,1,"","","","","",0
5419,"sales Associate","US, NY, New York","Sales","","","SALES ASSOCIATES - CHANGE YOUR LIFE Unemployed, underemployed or unhappy because of todays changed economy?  Learn to take control of your life. We offer a Multi Award winning, accredited Success Education Program and we require talented sales professionals to keep up with the demands of those products in the market place.While no experience is necessary, as we offer full training to qualified candidates, it will be important that you conduct yourself in a professional and positive manner. Influence what you achieve. Start now. Change your Life. We will give you the tools to succeed. I look forward to working with you on your next journey. Reach out to me on #URL_fb7cb83b9083b915f641adaee11f90f212874ba9f2d3acbda21d19d45bdcfec2#  and I will come back to you as soon as you send your details.","","",0,0,0,"","","","","",1
4879,"Ilkey Optician's Business Admin Apprentice Government Funding for 16-18 Year Olds Only","","","","Established on the principles that full time education is not for everyone Spectrum Learning is made up of a team of passionate consultants with the drive for putting people who wish to grow themselves through education whilst working into long term and relevant job roles.We also are official re-sellers for The Institute of Recruiters/ Study Course professional courses in HR Practice, In-House Recruitment and Agency RecruitmentIt is our mission to help anyone wishing to pursue an apprenticeship onto the right qualification and into the right job.We work closely with both the candidate and the employer to ensure when the learner is enrolled they are at the start of a long and successful career.We have great relationships with a number of national training providers to ensure we can cover any apprenticeship available.  ","Government funding is only available for 16-18 year olds as this job is an apprenticeship. This is fantastic opportunity for someone wanting to start their career in Business Admin. During the first 12 months you will work towards a Level 2 Business Admin NVQ and then be kept on in a permanent position.You will be working for an Opticians and the role will involve:-Answering the telephone-Making appointments-Booking in and organising contact lenses and spectacles-Processing salesIdeal candidates will be computer literate and have excellent communication skills","16-18 year olds only due to government funding.Full time availability.","Career prospects.",0,1,1,"Full-time","Entry level","High School or equivalent","","Administrative",0
15753,"Product Hacker","EE, , Tallinn","Product","","Want to build a 21st century financial service?We're convinced that that there is a need for innovation in financial services and that current banks will not be the ones providing this. Instead this innovation will come from companies like TransferWise and we're on a hunt for great minds who think like we do.","TransferWho?TransferWise is the clever new way to move money between countries. Co-founded by Skype’s first employee and backed by some of planet's most experienced innovators, including Sir Richard Branson and PayPal founder Peter Thiel, we're disrupting the world of currency &amp; international money transfer. That means flipping a gazillion dollar industry on its head and taking power away from banks and the establishment.Located in one of Tallinn’s start-up and design hubs, we’re growing at an extraordinary rate and looking for exceptional talent to jump on board.We’re currently 150 people strong and handling more millions in customers’ money every day.TransferWise is a 100% boredom-free zone. If you’re looking for a stuffy financial company, the back button beckons, if you want to be part of something innovative and truly exciting, read on.So, what's the role?We're looking for a superstar product hacker to join our fast-growing Tallinn team. Your job would be conquering countries by designing and building currency products and expanding the financial network. - NPS is your guide - you eat, sleep and breathe customer understanding and wisdom. - A/B testing the hell out of UX to ensure smooth integration for new countries, markets and payment methods - Design processes and controls for the rock-solid payments product- Liaise with our partners (banks, regulators, consultants)- Build a global system that can move gazillion dollars, euros and forints instantly between countries. Implement 100+ new currencies and payment methodsCo-founded by Skype’s first employee and backed by some of planet's most experienced innovators, including Sir Richard Branson and PayPal founder Peter Thiel, we're disrupting the world of currency &amp; international money transfer. That means flipping industry on its head and taking power away from banks and the establishment – distilling our product, proposition and pricing into easy to understand messaging is going to be key to our success.","You need to be hacker by heart - you love studying customers, their data and opinions. You are fascinated by (fin-tech) innovation and have a high degree of intellectual curiosity. In your world instead of problems you have opportunities, challenges and success. You do not fear figuring out complexities and processes in currency product and at same time hacking some UX, analysing NPS, performing some data mining and handling banks at ease. To get our attention you need to prove that You have built something amazing before or turned good into rockstar. ","Apart from all-expenses-paid company holidays twice a year (which are completely insane), stock options in one of Europe’s most hotly tipped startups, a sexy laptop of your choice and team lunches bi-weekly, you won’t get much in the way of extras. However, we will give you a fun, friendly atmosphere, plenty of opportunities to grow and the chance to be part of our little revolution. Oh, and coffee, there’s plenty of coffee.",0,1,0,"","","","","",0
10665,"Middle School Special Education Teacher","US, NY, Albany","","","The Albany Charter School Network is a family of charter schools in the City of Albany that works to prepare children for meaningful future lives – as purposeful, productive, and participatory citizens of New York, the United States, and the world.Our strong and unified movement of charter schools collaborates with parents to provide for all students a vibrant academic environment and dynamic learning experiences that create what we call “Future Life Opportunity” – a pathway to success in college, career, and community life.The Albany Charter School Network and the schools that comprise our community are always looking for highly committed and highly skilled people to come and join us in the exciting and meaningful work of helping create Future Life Opportunity for this generation of students.Please take the time to look at the various open positions on our site. If there is a role for which you think you would be a great match, then we encourage you to learn more about it and submit an application.","Do you have what it takes to cultivate the next generation of “Scientific Artists” – students with both the disciplined expertise and creative imagination to contribute effectively to the betterment of the global society? If so, the Albany Charter School Network may be the place for you! We are looking for a Middle School Special Education Teacher committed to helping our students write like Frederick Douglass and reason like Albert Einstein.POSITION SUMMARY As the Middle School Special Education Teacher, you will work collaboratively with other instructional staff and the instructional leader to champion a high-quality education for each and every student, cultivating success for future life opportunities in college, career, and community. You will participate in both horizontal and vertical planning to ensure every student’s academic needs are met. You will also develop strategies for the design, delivery, modification, and extension of Common Core standards-aligned curriculum and instruction, allowing all students to engage in active academic challenge and growth. As you work collaboratively with your peers to foster a thirst for lifelong learning, you will be responsible for your students’ performance, and your own personal and professional growth.ABOUT THE NETWORKThe Albany Charter School Network is  a family of charter schools in the city of Albany that works to prepare students for meaningful future lives – as purposeful, productive, and participatory citizens of New York, the United States, and the world. Our strong and unified movement of charter schools collaborates with parents to provide all students a vibrant academic environment and dynamic learning experience that create what we call “Future Life Opportunity” – a pathway to success in college, career, and community life.  We create this environment and these experiences with a focus on Choice, Reliability, Quality, and Growth.Choice: Engaged in the challenging and fulfilling work of learning for ourselves, and teaching others how to make informed decisions.  Reliability: Achieving high levels of student performance with low variability in academic and operational delivery within and between schools.Quality: Delivering excellent teaching and learning, and general school operations, through superior execution of research-based practices.Growth: Ensuring personal, academic, and professional growth for the Network community stakeholders and the Albany area as a whole. ","• Valid Certification in Special Education, K-12, 5-9 or 7-12.• Demonstrated ability to work in a collaborative environment with key stakeholders, including faculty, students, and parents. • Mission-driven with a genuine commitment to fostering future life opportunities for all students. • Excellent communication skills, both verbal and written.","",0,1,1,"","","Master's Degree","","",0
13754,"Customer Success Manager","NZ, N, Auckland","Customer Success","","Vend is looking for some awesome new talent to come join us. You'll be working in an awesome team doing awesome things, and generally being awesome.Learn about us on our blog, or meet the team on Twitter, Facebook, LinkedInAwesome SpaceOur brand new Auckland office space is located on Nuffield Street in Newmarket, surrounded by our customers and the industry we love. It is huge, open, and shiny new with great meeting room spaces, casual working environments and plenty of space to host awesome events. We don't do cubicles, just plenty of space, whiteboards and meetings rooms. We also have a great cafe/retail space with our very own Front of House Manager taking care of our visitors and fellow Venders. Like Auckland our Melbourne office is surrounded by retail. It's a great wee space equipped with tiny houses and some awesome cardboard cutout animals.Our Toronto office is located right in the heart of downtown retail district. Like Melbourne and Auckland there's a great vibe with great coffee, boutique stores and some of the greatest restaurants in the city. Our SoMa office in San Francisco is located in the middle of the SF tech scene, just a (Biz) stone's throw from Twitter.The EnvironmentWe want you to be at the top of your game. You can wear whatever clothing you like, start work late in the morning, take breaks whenever you want and generally work the way you want to work. Who we're looking forVend is looking for people to push the boundaries. We are a hard working professional team with a wicked sense of humour, and we are looking for people who thrive in a collaborative open environment. We want passionate, hard working, talented individuals that want to lead in their field.","Just in case this is the first time you’ve visited our website Vend is an award winning web based point of sale software for retail. We’re chucking out crusty old cash registers and replacing them with iPads, touch screens and beautiful software, all of this to make life easier for our retailers.  Vend is a fast-growing tech start-up, since launching in 2010 we’ve now got 10,000+ customers all over the world with more than 170 employees shared between our Auckland, Melbourne, Toronto, Berlin, London &amp; San Francisco offices. One of our most successful services has been our premium level support, managed by our wonderful Customer Success Managers who all have extensive backgrounds in retail and store management. This premium level support is an additional service that supports the customer throughout on-boarding, gives training and offers ongoing support as and when needed. Our CSM's are successful because they know exactly what our customers want and need and are able to deliver on that. They speak retail and by taking the time to understand our customers businesses they help to make them more successful. This is a great opportunity for someone who loves retail, has a natural affinity with technology and wants to step up into a new and exciting challenge with a global software company revolutionising retail. ","The ideal person to join our Customer Success Manager team is someone who;Has worked as a Store or an Assistant Store Manager in a fast paced retail environmentLoves retail and loves people even moreHas trained staff and is always the go to person that people come to for help with the POS systemsCan translate technical speak into plain english that anyone can understand and can do so without alienating our customersKnows best practice Stock Management inside outHas a solid understanding of the sales processKnows what reports can help a business be better and understands basic metrics for retailersCan totally dominate Excel, particularly .csv files - we spend a LOT of time with .csv files!Has a good understanding of the financial elements of a retail business, extra bonus points rewarded if you've used Xero!Wants to help our customers be better, smarter and more successful","You can expect from us.A competitive salary  The chance to work with a group of amazing peopleHaving the opportunity to be part of the next big kiwi software success storyAn open culture where we openly share our results and where your input is valuedFun at work!  However you might like to have fun at work, you can pretty much do that at VendWork-life balance.  We know you have a life outside of work.  At Vend you can have a life inside work tooUtilise all your talents.  Not just the ones written in your job descriptionWe welcome all of you at work.  We don’t want you to leave your personality at the door",0,1,1,"Full-time","","","Retail","Sales",0
16396,"Cad Designer","US, MA, Boston","","","We Provide Full Time Permanent Positions for many medium to large US companies. We are interested in finding/recruiting high quality candidates in IT, Engineering, Manufacturing and other highly technical and non-technical jobs.","(We have more than 1500+ Job openings in our website and some of them are relevant to this job. Feel free to search it in the website and apply directly. Just Click the “Apply Now” and you will redirect to our main website where you can search for the other jobs.)Prepare drawings, layouts, schematic diagrams and three-dimensional models of mechanical and/or electrical products and components, as well as design and draw fixtures and gauges.Work of some complexity requiring a moderate degree of improvisation in the application of procedures and methods. Work performed under defined and uniform procedures.5.Select views to be used in drawings using judgment and discretion.6.Check procedures in preparing detail drawings.7.Incorporate changes or corrections to existing drawings as instructed.8.Prepare three-dimensional models from engineering data, sketches, and verbal instructions. Utilize solid modeling software to evaluate assembly techniques, required clearances, mechanical movements, etc.9.Perform layout design of components, assemblies, fixtures, gauges and tooling as needed.Minimum of five years of drafting experience in manufacturing environment and additional five years experience with progressively increasing design experience in manufacturing environment.Knowledge of detail and layout drafting techniques. General knowledge of engineering terminology and various manufacturing processes. Knowledge of mathematics sufficient to compute dimensions, allowances, and tolerances.Visit - #URL_ec64af2b4fe2ca316e828f93b0cd098c22f8beba98dcac09d4dd7384b221a5e8#-#URL_2954b76adf23051d4bc35fc729f5a18c5de715ed82dfaee24b3aabbf3874ca57#","","",0,0,0,"Full-time","","","","",0
77,"Medical Coder","US, TX, Fort Worth","","65000-70000","SpotSource Solutions LLC is a Global Human Capital Management Consulting firm headquartered in Miami, Florida. Founded in January 2012, SpotSource has created a fusion of innovative service offerings to meet the increasing demand of today’s economy. We specialize in Talent Acquisition, Staffing, and Executive Search Services across various functions and in specific industries. Global Talent Transfusion (GTT) services utilize best in practice qualification standards to deliver talent in temporary, temporary-to-hire, and permanent basis. Health Career Transition (HCT) is a subsidiary of Global Talent Transfusion and offers placement services specifically in the growing Healthcare arena. SpotSource Executive Search (SES) Consultants are special breed talent evangelists that understand how to advise and streamline the human resources process in the direction your organization requires for long term sustainability and success. Succession Planning. Leadership Development Programs. Compensation Analysis. Recruitment Process Outsourcing. All customized to best suit the needs of your business. We understand the demand for cost-effective solutions for your organization. Are you seeking a potential career transition and interested in discussing the current hiring trends and open positions? Vital Career Consulting (VCC) offers career transitional services catered specifically for the job applicant, including Resume Construction, Social Media Optimization, and Interview Coaching.Address:4100 N Powerline Rd. Ste Z3Pompano Beach FL 33073Office: #PHONE_c90b6ca89acd18d9e31ea3590b4ad76605721bc372025598fe9e1e60cf428551#","JOB TITLE: Certified Coder                                                                                            DEPARTMENT: Itemization Review REPORTS TO: Itemization Review SupervisorGENERAL DESCRIPTION:Reverse code previously coded medical bills to determine coding accuracy. DUTIES AND RESPONSIBILITIES:Receives claim and processes based on state rules and regulationsDetermine validity and compensability of the claim using proprietary programsMake recommendations to referring officeCommunicate claim status with referring officeRead and comprehend all medical AAPC reportsAdhere to client and carrier guidelines and participate in claims review as neededAssists other claims professionals with more complex or problematic claims as necessaryAdditional duties/responsibilities as assignedComply with all safety rules/regulations, in conjunction with the Injury and Illness Prevention Program (“IIPP”), as well as, maintain HIPAA complianceQUALIFICATIONS:High School diploma, or equivalentCurrent AAPC certification (which must be maintained throughout employment as current and active status)Certification as CPC with the AAPC for more than 5 years (w/ surgical or office experience)Current or recent orthopedic billing/coding experienceE/M coding/down-coding experienceEncoderPro software experienceTexas workers compensation experience is preferredPain Management/Anesthesia/General Surgery coding experience is preferredAbility to learn rapidly to develop knowledge and understanding of claims practiceStrong organizational skillsAbility to meet or exceed performance competenciesEffective and professional communication skillsAbility to handle stressful situations, and use critical and strategic thinkingDemonstrated outstanding leadership, problem solving, and analytical skillsAbility to think and work independently, while working in an overall team environmentProficient in Microsoft Office Suite   ","PRODUCTION EXPECTATIONS:Meet claim review quota of 25 claims per dayMaintain an error rate of 2% or less ","Benefits Offered",0,1,1,"Full-time","Associate","High School or equivalent","Hospital & Health Care","Health Care Provider",0
